"name","label","region","district","ta"
"DE030072","Bembeke Health Centre","Central","Dedza","TA Kamenya Gwaza"
"DE030191","Chikuse Health Centre","Central","Dedza","TA Kasumbu"
"DE030228","Chimoto Health Centre","Central","Dedza","TA Kachere"
"DE030294","Chitowo Health Centre","Central","Dedza","TA Kaphuka"
"DE030313","Chongoni Health Dispensary","Central","Dedza","TA Kasumbu"
"DE030334","Dedza District Hospital","Central","Dedza","TA Kamenya Gwaza"
"DE030371","Dzindevu Health Centre","Central","Dedza","TA Kasumbu"
"DE030430","Golomoti Health Centre","Central","Dedza","TA Kachindamoto"
"DE030487","Kachindamoto Health Centre","Central","Dedza","TA Kachindamoto"
"DE030491","Kafere Health Centre","Central","Dedza","TA Kachere"
"DE030507","Kalulu Health Centre","Central","Dedza","TA Tambala"
"DE030532","Mdeza Health Centre","Central","Dedza","TA Chilikumwendo"
"DE030542","Kanyama Health Centre","Central","Dedza","TA Kasumbu"
"DE030546","Kanyezi Health Centre","Central","Dedza","TA Chilikumwendo"
"DE030560","Kaphuka Health Centre","Central","Dedza","TA Kaphuka"
"DE030580","Kasina Health Centre","Central","Dedza","TA Kaphuka"
"DE030604","Kaundu Health Centre","Central","Dedza","TA Kachindamoto"
"DE030708","Lobi Health Centre","Central","Dedza","TA Kachere"
"DE030836","Maonde Health Centre","Central","Dedza","TA Kachere"
"DE030864","Matumba Rural Hospital","Central","Dedza","TA Chilikumwendo"
"DE030869","Mayani Health Centre","Central","Dedza","TA Tambala"
"DE030901","Mdeza Health Centre","Central","Dedza","TA Chilikumwendo"
"DE030910","Mganja Health Centre","Central","Dedza","TA Kachindamoto"
"DE030923","Mikondo Health Centre","Central","Dedza","TA Kachere"
"DE030946","Mjini Health Centre","Central","Dedza","TA Tambala"
"DE030964","Mlangali Health Dispensary","Central","Dedza","TA Kachere"
"DE031001","Mphathi Health Centre","Central","Dedza","TA Kachere"
"DE031008","Mphunzi Health Centre","Central","Dedza","TA Kachere"
"DE031023","Mtakataka Health Centre","Central","Dedza","TA Kachindamoto"
"DE031030","Mtendere Health Centre","Central","Dedza","TA Kachere"
"DE031041","Mua Mission Hospital","Central","Dedza","TA Kachindamoto"
"DE031107","Nakalazi Health Centre","Central","Dedza","TA Kachindamoto"
"DE031352","St Joseph's Chiphwanya Health Centre","Central","Dedza","TA Tambala"
"DE031445","Tsoyo Dispensary","Central","Dedza","TA Chauma"
"DE031539","Mtakataka Police College Health Centre","Central","Dedza","TA Kachindamoto"
"DE031586","Bema Health Dispensary","Central","Dedza","TA Kachere"
"DE031587","Chejero Health Post","Central","Dedza","TA Kachindamoto"
"DE031588","Chiluzi Health Post","Central","Dedza","TA Kasumbu"
"DE031589","Chinkombero Dispensary","Central","Dedza","TA Kamenya Gwaza"
"DE031591","Tchetsa Dispensary","Central","Dedza","TA Tambala"
"DE031708","Magomero Dispensary","Central","Dedza","TA Chilikumwendo"
"DE031765","Linthipe Pvt Clinic","Central","Dedza","TA Kaphuka"
"DE031766","St Cornelius Health Centre","Central","Dedza","TA Kachere"
"DE031883","Dedza Prison","Central","Dedza","TA Kasumbu"
"DA020111","Bowe Health Centre","Central","Dowa","TA Chakhaza"
"DA020140","Chakhaza Health Centre","Central","Dowa","TA Chakhaza"
"DA020153","Chankhungu Health Centre","Central","Dowa","TA Mkukula"
"DA020166","Chezi Health Centre","Central","Dowa","TA Chiwere"
"DA020243","Chinkhwiri Health Centre","Central","Dowa","TA Chakhaza"
"DA020269","Chisepo Health Centre","Central","Dowa","TA Kayembe"
