"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Bwengu Health Centre","Bwengu Health Centre","Northern","Mzimba North","TA Jalavikuba","MZ160124","2","Non-EmONC","No","-11.0638183","33.9167067"
"Choma Health Centre","Choma Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160309","2","Non-EmONC","No","-11.3129095","33.9911642"
"Ekwaiweni Dispensary","Ekwaiweni Dispensary","Northern","Mzimba North","TA Mtwalo","MZ160382","1","Non-EmONC","No","-11.4228724","33.8976112"
"Ekwendeni Mission Hospital","Ekwendeni Mission Hospital","Northern","Mzimba North","TA Mtwalo","MZ160383","3","CEmONC","Yes","-11.37163","33.8832285"
"Emsizini Health Centre","Emsizini Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160390","2","Non-EmONC","No","-11.4443234","33.8248892"
"Engucwini Health Centre","Engucwini Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160392","2","BEmONC","No","-11.1980068","33.8228873"
"Enukweni Health Centre","Enukweni Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160393","2","BEmONC","No","-11.1800767","33.8858567"
"Enukweni Mission Health Centre","Enukweni Mission Health Centre","Northern","Mzimba North","TA Mtwalo","MZ161535","2","BEmONC","No","-11.180885","33.8843891"
"Kabwafu Health Centre","Kabwafu Health Centre","Northern","Mzimba North","TA Mpherembe","MZ160481","2","Non-EmONC","No","-11.3088518","33.5256672"
"Kafukule Health Centre","Kafukule Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160493","2","BEmONC","No","-11.4575328","33.6340624"
"Kamwe Health Centre","Kamwe Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160530","2","Non-EmONC","No","-11.10307","33.7890024"
"Kaweche Health Centre","Kaweche Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160613","2","BEmONC","No","-11.3405283","33.8662528"
"Khuyukuyu Health Centre","Khuyukuyu Health Centre","Northern","Mzimba North","TA Mtwalo","MZ161205","2","CEmONC","No","-11.2221883","33.9143203"
"Luvwere Dispensary","Luvwere Dispensary","Northern","Mzimba North","TA Mtwalo","MZ160736","1","Non-EmONC","No","-11.3889984","33.6729325"
"Luzi Health Centre","Luzi Health Centre","Northern","Mzimba North","TA Jalavikuba","MZ160743","2","BEmONC","No","-10.9967219","33.9560579"
"Madise Health Centre","Madise Health Centre","Northern","Mzimba North","TA Mtwalo","MZ161919","2","BEmONC","No","-11.2634652","33.7798635"
"Malidade Health Centre","Malidade Health Centre","Northern","Mzimba North","TA Mpherembe","MZ160812","2","Non-EmONC","No","-11.2292025","33.4998759"
"Manolo Health Centre","Manolo Health Centre","Northern","Mzimba North","TA Mpherembe","MZ160833","2","Non-EmONC","No","-11.2507717","33.4395522"
"Matuli Health Centre","Matuli Health Centre","Northern","Mzimba North","TA Mtwalo","MZ160863","2","BEmONC","No","-11.4851248","33.896117"
"Moyale Dispensary","Moyale Dispensary","Northern","Mzimba North","TA Kabunduli","MZ160986","1","Non-EmONC","No","-11.4594467","34.0377219"
"Mpherembe Health Centre","Mpherembe Health Centre","Northern","Mzimba North","TA Mpherembe","MZ161004","2","BEmONC","No","-11.2881777","33.6147166"
"Mtwalo Health Centre","Mtwalo Health Centre","Northern","Mzimba North","TA Mtwalo","MZ161040","2","Non-EmONC","No","-11.3967064","33.7459868"
"Mzuzu Central Hospital","Mzuzu Central Hospital","Northern","Mzimba North","TA Mtwalo","MZ161099","4","CEmONC","Yes","-11.4284917","33.99549"
"Mzuzu Urban Community Hospital","Mzuzu Urban Community Hospital","Northern","Mzimba North","TA Chindi","MZ161100","2","BEmONC","No","-11.4614033","34.0148959"
"Njuyu Health Centre","Njuyu Health Centre","Northern","Mzimba North","TA Kampingo Sibande","MZ161187","2","BEmONC","No","-11.4624718","33.6320891"
