"Healthcare Facility Name","Facility Code","Level","BEmONC / CEmONC","NCU / NICU","TA (Council)","District","Region","Country","Latitude","Longitude","Contact Name","Phone Number","Phone Number 2","Phone Number 3"
"Bwengu Health Centre","MZ160124","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Jalavikuba","Mzimba North","Northern","Malawi","-11.0638183","33.9167067","Chawezi Mtonga","990450393","",""
"Choma Health Centre","MZ160309","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.3129095","33.9911642","Loveness Pokerani","899543534","",""
"Ekwaiweni Dispensary","MZ160382","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4228724","33.8976112","Alexander Kamanga","881979037","",""
"Ekwendeni Mission Hospital","MZ160383","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Mtwalo","Mzimba North","Northern","Malawi","-11.37163","33.8832285","Grant Chirwa","997975029","",""
"Emsizini Health Centre","MZ160390","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4443234","33.8248892","Handra Nyirenda","884644746","",""
"Engucwini Health Centre","MZ160392","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.1980068","33.8228873","Stanely Nyirenda","990621835","",""
"Enukweni Health Centre","MZ160393","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.1800767","33.8858567","Bester Zimba","884088412","992518686",""
"Enukweni Mission Health Centre","MZ161535","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.180885","33.8843891","Telling Gondwe","996655609","",""
"Kabwafu Health Centre","MZ160481","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mpherembe","Mzimba North","Northern","Malawi","-11.3088518","33.5256672","Winnie Njolomole","992784001","",""
"Kafukule Health Centre","MZ160493","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.4575328","33.6340624","Egson Kitalo","884247914","",""
"Kamwe Health Centre","MZ160530","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.10307","33.7890024","Enipher Shaba","990556777","",""
"Kaweche Health Centre","MZ160613","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.3405283","33.8662528","Marshal Mwenefumbo","999435939","",""
"Khuyukuyu Health Centre","MZ161205","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.2221883","33.9143203","Khumbo Nyirenda","993514853","",""
"Luvwere Dispensary","MZ160736","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.3889984","33.6729325","Rodwine Mwenelubembe","994177273","",""
"Luzi Health Centre","MZ160743","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Jalavikuba","Mzimba North","Northern","Malawi","-10.9967219","33.9560579","Chifundo Kaira","997990813","",""
"Madise Health Centre","MZ161919","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mtwalo","Mzimba North","Northern","Malawi","-11.2634652","33.7798635","Wilson Nyirenda","995145694","",""
"Malidade Health Centre","MZ160812","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mpherembe","Mzimba North","Northern","Malawi","-11.2292025","33.4998759","Wighane Mwangonde","984470891","",""
