"TA Name","District","Region","Country","Latitude","Longitude"
"TA Jalavikuba","Mzimba North","Northern","Malawi","-10.9836533","33.9633067"
"TA Kampingo Sibande","Mzimba North","Northern","Malawi","-11.5223064","33.6972637"
"TA Mpherembe","Mzimba North","Northern","Malawi","-11.2508903","33.4395875"
"TA Mtwalo","Mzimba North","Northern","Malawi","-11.3923448","33.7499434"
"STA Chiputula Nhlane","Mzimba South","Northern","Malawi","-12.2751184","33.6796132"
"STA Levi Jere","Mzimba South","Northern","Malawi","-12.3761796","33.5574748"
"TA Kampingo Sibande","Mzimba South","Northern","Malawi","-11.7281384","33.6597107"
"TA Khosolo","Mzimba South","Northern","Malawi","-12.43558","33.7911784"
"TA M'mbelwa","Mzimba South","Northern","Malawi","-12.047016","33.3156757"
"TA Mabilabo","Mzimba South","Northern","Malawi","-12.5958266","33.6039536"
"TA Mzikubola","Mzimba South","Northern","Malawi","-12.1440615","33.5342057"
"TA Mzukuzuku","Mzimba South","Northern","Malawi","-12.1759267","33.4645183"
"STA Boma","Rumphi","Northern","Malawi","-10.8201882","34.1073419"
"STA Chimphamba","Rumphi","Northern","Malawi","-10.6990649","34.1848667"
"STA Chiwiriwiri","Rumphi","Northern","Malawi","-10.6095483","34.1768574"
"STA Jeka","Rumphi","Northern","Malawi","-10.9115517","33.5736385"
"STA Kanthawala","Rumphi","Northern","Malawi","-10.9677145","34.0195704"
"STA Mchinanguwo","Rumphi","Northern","Malawi","-10.9343618","33.5821332"
"STA Mwang'onga","Rumphi","Northern","Malawi","-10.9539516","33.9317256"
"STA Ndendende","Rumphi","Northern","Malawi","-10.9101012","33.9675773"
"STA Tambalamtuwa","Rumphi","Northern","Malawi","-10.8824388","34.0287447"
"TA Chapinduka","Rumphi","Northern","Malawi","-10.9713249","34.2179871"
"TA Chikulamayembe","Rumphi","Northern","Malawi","-10.9771454","33.7420322"
"TA Chisovya","Rumphi","Northern","Malawi","-10.943729","33.946751"
"TA Chivwenene","Rumphi","Northern","Malawi","-10.9631133","34.10244"
"TA Kachulu","Rumphi","Northern","Malawi","-10.6542202","34.0782987"
"TA Katatawe","Rumphi","Northern","Malawi","-10.9153504","34.100892"
"TA Katumbi","Rumphi","Northern","Malawi","-10.8133846","33.5072175"
"TA Kawazamawe","Rumphi","Northern","Malawi","-10.9750449","33.7207077"
"TA Mwahenga","Rumphi","Northern","Malawi","-10.8631976","33.9991794"
"TA Mwamlowe","Rumphi","Northern","Malawi","-10.7629324","34.2027099"
"TA Mwankhunikira","Rumphi","Northern","Malawi","-10.9256468","34.0024942"
"TA Njikula","Rumphi","Northern","Malawi","-10.7290767","34.162865"
"STA Chakanza","Balaka","Southern","Malawi","-15.2996736","35.0147638"
"STA Chimatiro","Balaka","Southern","Malawi","-14.9692682","35.0124156"
"STA Kapalamula","Balaka","Southern","Malawi","-14.970485","34.9031833"
"STA Makwinja","Balaka","Southern","Malawi","-14.8175483","35.1180283"
"STA Mbera","Balaka","Southern","Malawi","-14.912751","35.0535872"
"STA Mgomwa","Balaka","Southern","Malawi","-15.226825","35.0179"
"STA Mpoto","Balaka","Southern","Malawi","-14.9614097","35.0423744"
"STA Nyanyala","Balaka","Southern","Malawi","-15.1776079","34.9009967"
"STA Toleza","Balaka","Southern","Malawi","-14.93335917912755","34.98550003753924"
"TA Amidu","Balaka","Southern","Malawi","-14.9861023","35.1303802"
"TA Chanthunya","Balaka","Southern","Malawi","-15.0620736","34.9146618"
"TA Kachenga","Balaka","Southern","Malawi","-14.8420433","35.0107917"
"TA Kalembo","Balaka","Southern","Malawi","-14.8494566","35.172057"
"TA Matola","Balaka","Southern","Malawi","-14.949945","34.966395"
"TA Mpilisi","Balaka","Southern","Malawi","-15.1216823","35.1237229"
"TA Nkaya","Balaka","Southern","Malawi","-15.1227383","35.0298417"
"TA Nsamala","Balaka","Southern","Malawi","-15.0231833","34.9908"
"TA Phalula","Balaka","Southern","Malawi","-15.2230433","34.8879583"
"TA Phimbi","Balaka","Southern","Malawi","-15.2516027","35.1068884"
"TA Sawali","Balaka","Southern","Malawi","-14.9657374","35.040708"
"TA Chigaru","Blantyre","Southern","Malawi","-15.4951031","34.975448"
"TA Kapeni","Blantyre","Southern","Malawi","-15.6523904","35.0192009"
"TA Kasisi","Blantyre","Southern","Malawi","-15.8830017","34.8221717"
"TA Kuntaja","Blantyre","Southern","Malawi","-15.6361122","34.9280446"
"TA Kunthembwe","Blantyre","Southern","Malawi","-15.6719371","34.8682424"
"TA Lundu","Blantyre","Southern","Malawi","-15.4538594","35.0213348"
"TA Machinjiri","Blantyre","Southern","Malawi","-15.7320425","35.0415401"
"TA Makata","Blantyre","Southern","Malawi","-15.635828","35.0819988"
"TA Somba","Blantyre","Southern","Malawi","-15.8719269","34.9710224"
"STA Chiponde","Mangochi","Southern","Malawi","-14.3719041","35.6006523"
"STA Kapichi","Mangochi","Southern","Malawi","-14.1404567","34.8238365"
"STA Luwalika","Mangochi","Southern","Malawi","-14.261841","35.4427453"
"STA M'baluku","Mangochi","Southern","Malawi","-14.4790077","35.2789087"
"STA Makumba","Mangochi","Southern","Malawi","-14.3153483","35.2759317"
"STA Maliro","Mangochi","Southern","Malawi","-14.4176542","35.2618161"
"STA Mambo","Mangochi","Southern","Malawi","-14.3093997","35.1109835"
"STA Moto","Mangochi","Southern","Malawi","-14.2808205","35.257976"
"TA Bwananyambi","Mangochi","Southern","Malawi","-14.5502113","35.5678343"
"TA Chamba","Mangochi","Southern","Malawi","-14.4693565","34.7914231"
"TA Chilawe","Mangochi","Southern","Malawi","-13.8036361","35.0892273"
"TA Chilipa","Mangochi","Southern","Malawi","-14.7025759","34.9759374"
"TA Chimwala","Mangochi","Southern","Malawi","-14.6380567","35.1806368"
"TA Chiunda","Mangochi","Southern","Malawi","-14.7432383","35.39699"
"TA Chowe","Mangochi","Southern","Malawi","-14.4230012","35.3764714"
"TA Hamisi Makanjira","Mangochi","Southern","Malawi","-13.6720317","34.8527233"
"TA Jalasi","Mangochi","Southern","Malawi","-14.35989","35.4347833"
"TA Katuli","Mangochi","Southern","Malawi","-14.1795261","35.4465773"
"TA Lulanga","Mangochi","Southern","Malawi","-13.6871492","34.9217893"
"TA Makanjira","Mangochi","Southern","Malawi","-13.7049741","35.0518552"
"TA Mapira","Mangochi","Southern","Malawi","-14.4862282","35.2680019"
"TA Mkata","Mangochi","Southern","Malawi","-14.3409662","35.4189766"
"TA Mponda","Mangochi","Southern","Malawi","-14.4531538","35.2462321"
"TA Namabvi","Mangochi","Southern","Malawi","-14.1193246","35.1913686"
"TA Namkumba","Mangochi","Southern","Malawi","-14.3668663","34.8154065"
"TA Ntonda","Mangochi","Southern","Malawi","-14.6523797","34.952943"
"STA Mlenga","Thyolo","Southern","Malawi","-16.0933981","35.0466901"
"STA Nguluwe","Thyolo","Southern","Malawi","-15.90776","35.1372833"
"TA Boidi","Thyolo","Southern","Malawi","-15.84058","35.092318"
"TA Bvumbwe","Thyolo","Southern","Malawi","-15.94072211","35.02479707"
