"name","label","region","district","latitude","longitude"
"TA Wasambo","TA Wasambo","Northern","Karonga","-14.9848546","34.9495262"
"STA Test Max","STA Test Max","Northern","Nkhata Bay","-11.897805","33.586265"
"TA Demo","TA Demo","Northern","Rumphi","-11.9356419","33.6059559"
"TA Kapichi","TA Kapichi","Southern","Thyolo","-16.0974768","35.2718036"
"TA Ndalama","TA Ndalama","Southern","Thyolo","-16.0341899","35.2831252"
"TA Test","TA Test","Northern","Mzimba South","-11.4582322","33.4200348"
"TA Maganiza","TA Maganiza","Southern","Thyolo","-16.09927","35.2572804"
"TA Nanseta","TA Nanseta","Southern","Thyolo","-16.0246467","35.2899827"
"STA Mlenga","STA Mlenga","Southern","Thyolo","-16.0933981","35.0466901"
"TA Thomas","TA Thomas","Southern","Thyolo","-16.0284012","34.9754415"
"TA Mphuka","TA Mphuka","Southern","Thyolo","-16.0328873","34.9829654"
"TA Nsabwe","TA Nsabwe","Southern","Thyolo","-16.3402068","35.2012921"
"TA Thukuta","TA Thukuta","Southern","Thyolo","-16.3949152","35.2628494"
"TA Kampingo Sibande","TA Kampingo Sibande","Northern","Mzimba South","-11.7281384","33.6597107"
"TA Chimaliro","TA Chimaliro","Southern","Thyolo","-15.9759316","35.1819197"
"TA Namabvi","TA Namabvi","Southern","Mangochi","-14.1193246","35.1913686"
"TA Boidi","TA Boidi","Southern","Thyolo","-15.84058","35.092318"
"TA M'mbelwa","TA M'mbelwa","Northern","Mzimba South","-11.9063383","33.3642197"
"TA M'mbwelwa","TA M'mbwelwa","Northern","Mzimba South","-11.9086183","33.3658217"
"TA Changata","TA Changata","Southern","Thyolo","-16.2318395","35.1478053"
"STA Nguluwe","STA Nguluwe","Southern","Thyolo","-15.90776","35.1372833"
"TA Chindi","TA Chindi","Northern","Mzimba South","-11.4522583","33.41546"
"TA Maggie","TA Maggie","Southern","Thyolo","-15.9295852","35.1061186"
"TA Mbawera","TA Mbawera","Southern","Thyolo","-16.27575","35.1977925"
"TA Phimbi","TA Phimbi","Southern","Balaka","-15.2516027","35.1068884"
"TA Matola","TA Matola","Southern","Balaka","-14.949945","34.966395"
"TA Nsamala","TA Nsamala","Southern","Balaka","-15.0231833","34.9908"
"STA Kapalamula","STA Kapalamula","Southern","Balaka","-14.970485","34.9031833"
"TA Bvumbwe","TA Bvumbwe","Southern","Thyolo","-15.94072211","35.02479707"
"TA Kachenga","TA Kachenga","Southern","Balaka","-14.8420433","35.0107917"
"STA Mbera","STA Mbera","Southern","Balaka","-14.912751","35.0535872"
"TA Kalembo","TA Kalembo","Southern","Balaka","-14.8494566","35.172057"
"TA Mpilisi","TA Mpilisi","Southern","Balaka","-15.1216823","35.1237229"
"TA Toleza","TA Toleza","Southern","Balaka","-14.93335917912755","34.98550003753924"
"STA Chimatiro","STA Chimatiro","Southern","Balaka","-14.9692682","35.0124156"
"TA Ngomano","TA Ngomano","Southern","Thyolo","-16.0013741","35.0026953"
