"name","label","region","district"
"Bulala Health Centre","Bulala Health Centre","Northern","Mzimba South"
"Chafisi Health Post","Chafisi Health Post","Northern","Mzimba South"
"Chamama Community Hospital","Chamama Community Hospital","Northern","Mzimba South"
"Chikangawa Health Centre","Chikangawa Health Centre","Northern","Mzimba South"
"Ehehleni Dispensary","Ehehleni Dispensary","Northern","Mzimba South"
"Embangweni Mission Hospital","Embangweni Mission Hospital","Northern","Mzimba South"
"Endindeni Health Centre","Endindeni Health Centre","Northern","Mzimba South"
"Euthin Rural Hospital","Euthin Rural Hospital","Northern","Mzimba South"
"Euthine Rural Hospital","Euthine Rural Hospital","Northern","Mzimba South"
"Euthini Rural Hospital","Euthini Rural Hospital","Northern","Mzimba South"
"Hoho Health Centre","Hoho Health Centre","Northern","Mzimba South"
"Hora Health Centre","Hora Health Centre","Northern","Mzimba South"
"Jenda Rural Hospital","Jenda Rural Hospital","Northern","Mzimba South"
"Kalikumbi Health Centre","Kalikumbi Health Centre","Northern","Mzimba South"
"Kalukumbi Health Centre","Kalukumbi Health Centre","Northern","Mzimba South"
"Katete Community Hospital","Katete Community Hospital","Northern","Mzimba South"
"Khosolo District Hospital","Khosolo District Hospital","Northern","Mzimba South"
"Luwawa Health Centre","Luwawa Health Centre","Northern","Mzimba South"
"Mabiri Health Centre","Mabiri Health Centre","Northern","Mzimba South"
"Mabiri Health Post","Mabiri Health Post","Northern","Mzimba South"
"Mbalachanda Health Centre","Mbalachanda Health Centre","Northern","Mzimba South"
"Mhalaunda Health Centre","Mhalaunda Health Centre","Northern","Mzimba South"
"Mzalangwe Health Centre","Mzalangwe Health Centre","Northern","Mzimba South"
"Mzambazi Community Hospital","Mzambazi Community Hospital","Northern","Mzimba South"
"Mzimba DHO District Hospital","Mzimba DHO District Hospital","Northern","Mzimba South"
"Mzimba District Hospital","Mzimba District Hospital","Northern","Mzimba South"
"Raiply Clinic","Raiply Clinic","Northern","Mzimba South"
"Raiply Health Centre","Raiply Health Centre","Northern","Mzimba South"
