"name","label","region","district"
"STA Chikoma Mkandawire","STA Chikoma Mkandawire","Northern","Mzimba North"
"TA Chindi","TA Chindi","Northern","Mzimba North"
"TA Jalavikuba","TA Jalavikuba","Northern","Mzimba North"
"TA Kabunduli","TA Kabunduli","Northern","Mzimba North"
"TA Kampingo Sibande","TA Kampingo Sibande","Northern","Mzimba North"
"TA Mpherembe","TA Mpherembe","Northern","Mzimba North"
"TA Mtwalo","TA Mtwalo","Northern","Mzimba North"
"STA Chiputula Nhlane","STA Chiputula Nhlane","Northern","Mzimba South"
"STA Levi Jere","STA Levi Jere","Northern","Mzimba South"
"TA Chindi","TA Chindi","Northern","Mzimba South"
"TA Kampingo Sibande","TA Kampingo Sibande","Northern","Mzimba South"
"TA Khosolo","TA Khosolo","Northern","Mzimba South"
"TA M'mbelwa","TA M'mbelwa","Northern","Mzimba South"
"TA Mabilabo","TA Mabilabo","Northern","Mzimba South"
"TA Mtwalo","TA Mtwalo","Northern","Mzimba South"
"TA Mzikubola","TA Mzikubola","Northern","Mzimba South"
"TA Mzukuzuku","TA Mzukuzuku","Northern","Mzimba South"
"STA Boma","STA Boma","Northern","Rumphi"
"STA Chimphamba","STA Chimphamba","Northern","Rumphi"
"STA Chipofya","STA Chipofya","Northern","Rumphi"
"STA Chiwiriwiri","STA Chiwiriwiri","Northern","Rumphi"
"STA Jeka","STA Jeka","Northern","Rumphi"
"STA Kanthawala","STA Kanthawala","Northern","Rumphi"
"STA Mchinanguwo","STA Mchinanguwo","Northern","Rumphi"
"STA Mwang'onga","STA Mwang'onga","Northern","Rumphi"
"STA Ndendende","STA Ndendende","Northern","Rumphi"
"STA Tambalamtuwa","STA Tambalamtuwa","Northern","Rumphi"
"TA Chapinduka","TA Chapinduka","Northern","Rumphi"
"TA Chikulamayembe","TA Chikulamayembe","Northern","Rumphi"
"TA Chisovya","TA Chisovya","Northern","Rumphi"
"TA Chivwenene","TA Chivwenene","Northern","Rumphi"
"TA Kachulu","TA Kachulu","Northern","Rumphi"
"TA Katatawe","TA Katatawe","Northern","Rumphi"
"TA Katumbi","TA Katumbi","Northern","Rumphi"
